Абхазия,Abkhazia
Америка,USA
Австралия,Australia
Австрия,Austria
Азербайджан,Azerbaijan
Албания,Albania
Алжир,Algeria
Американское Самоа,American Samoa
Ангилья,Anguilla
Ангола,Angola
Андорра,Andorra
Антарктида,Antarctica
Антигуа и Барбуда,Antigua and Barbuda
Аргентина,Argentina
Армения,Armenia
Аруба,Aruba
Афганистан,Afghanistan
Багамы,Bahamas
Бангладеш,Bangladesh
Барбадос,Barbados
Бахрейн,Bahrain
Беларусь,Belarus
Белиз,Belize
Бельгия,Belgium
Бенин,Benin
Бермуды,Bermuda
Болгария,Bulgaria
Боливия,Bolivia
Босния и Герцеговина,Bosnia and Herzegovina
Ботсвана,Botswana
Бразилия,Brazil
Британская территория в Индийском океане,British Indian Ocean Territory
Бруней-Даруссалам,Brunei Darussalam
Буркина-Фасо,Burkina Faso
Бурунди,Burundi
Бутан,Bhutan
Вануату,Vanuatu
Венгрия,Hungary
Венесуэла Боливарианская Республика,Venezuela
Виргинские острова,Virgin Islands,
США,USA
Вьетнам,Vietnam
Габон,Gabon
Гаити,Haiti
Гайана,Guyana
Гамбия,Gambia
Гана,Ghana
Гваделупа,Guadeloupe
Гватемала,Guatemala
Гвинея,Guinea
Гвинея-Бисау,Guinea-Bissau
Германия,Germany
Гернси,Guernsey
Гибралтар,Gibraltar
Гондурас,Honduras
Гонконг,Hong Kong
Гренада,Grenada
Гренландия,Greenland
Греция,Greece
Грузия,Georgia
Гуам,Guam
Дания,Denmark
Джерси,Jersey
Джибути,Djibouti
Доминика,Dominica
Доминиканская Республика,Dominican Republic
Египет,Egypt
Замбия,Zambia
Западная Сахара,Western Sahara
Зимбабве,Zimbabwe
Израиль,Israel
Индия,India
Индонезия,Indonesia
Иордания,Jordan
Ирак,Iraq
Иран,Iran
Ирландия,Ireland
Исландия,Iceland
Испания,Spain
Италия,Italy
Йемен,Yemen
Кабо-Верде,Cape Verde
Казахстан,Kazakhstan
Камбоджа,Cambodia
Камерун,Cameroon
Канада,Canada
Катар,Qatar
Кения,Kenya
Кипр,Cyprus
Киргизия,Kyrgyzstan
Кирибати,Kiribati
Китай,China
Кокосовые (Килинг) острова,Cocos (Keeling) Islands
Колумбия,Colombia
Коморы,Comoros
Конго,Congo
Конго, Демократическая Республика,Congo, Democratic Republic of the
Корея, Народно-Демократическая Республика,Korea, Democratic People's republic of
Корея, Республика,Korea, Republic of
Коста-Рика,Costa Rica
Кот д'Ивуар,Cote d'Ivoire
Куба,Cuba
Кувейт,Kuwait
Кюрасао,Curaçao
Лаос,Lao People's Democratic Republic
Латвия,Latvia
Лесото,Lesotho
Ливан,Lebanon
Ливийская Арабская Джамахирия,Libyan Arab Jamahiriya
Либерия,Liberia
Лихтенштейн,Liechtenstein
Литва,Lithuania
Люксембург,Luxembourg
Маврикий,Mauritius
Мавритания,Mauritania
Мадагаскар,Madagascar
Майотта,Mayotte
Макао,Macao
Малави,Malawi
Малайзия,Malaysia
Мали,Mali
Малые Тихоокеанские отдаленные острова Соединенных Штатов,United States Minor Outlying Islands
Мальдивы,Maldives
Мальта,Malta
Марокко,Morocco
Мартиника,Martinique
Маршалловы острова,Marshall Islands
Мексика,Mexico
Микронезия, Федеративные Штаты,Micronesia, Federated States of
Мозамбик,Mozambique
Молдова,Moldova
Молдавия,Moldova
Монако,Monaco
Монголия,Mongolia
Монтсеррат,Montserrat
Мьянма,Burma
Намибия,Namibia
Науру,Nauru
Непал,Nepal
Нигер,Niger
Нигерия,Nigeria
Нидерланды,Netherlands
Никарагуа,Nicaragua
Ниуэ,Niue
Новая Зеландия,New Zealand
Новая Каледония,New Caledonia
Норвегия,Norway
Объединенные Арабские Эмираты,United Arab Emirates
Оман,Oman
Остров Буве,Bouvet Island
Остров Мэн,Isle of Man
Остров Норфолк,Norfolk Island
Остров Рождества,Christmas Island
Остров Херд и острова Макдональд,Heard Island and McDonald Islands
Острова Кайман,Cayman Islands
Острова Кука,Cook Islands
Острова Теркс и Кайкос,Turks and Caicos Islands
Пакистан,Pakistan
Палау,Palau
Палестинская территория, оккупированная,Palestinian Territory, Occupied
Панама,Panama
Папский Престол (Государство — город Ватикан),Holy See (Vatican City State)
Папуа-Новая Гвинея,Papua New Guinea
Парагвай,Paraguay
Перу,Peru
Питкерн,Pitcairn
Польша,Poland
Португалия,Portugal
Пуэрто-Рико,Puerto Rico
Македония,Macedonia
Реюньон,Reunion
Россия,Russia
Руанда,Rwanda
Румыния,Romania
Самоа,Samoa
Сан-Марино,San Marino
Сан-Томе и Принсипи,Sao Tome and Principe
Саудовская Аравия,Saudi Arabia
Свазиленд,Swaziland
Святая Елена, Остров вознесения, Тристан-да-Кунья,Saint Helena, Ascension And Tristan Da Cunha
Северные Марианские острова,Northern Mariana Islands
Сен-Бартельми,Saint Barthélemy
Сен-Мартен,Saint Martin (French Part)
Сенегал,Senegal
Сент-Винсент и Гренадины,Saint Vincent and the Grenadines
Сент-Китс и Невис,Saint Kitts and Nevis
Сент-Люсия,Saint Lucia
Сент-Пьер и Микелон,Saint Pierre and Miquelon
Сербия,Serbia
Сейшелы,Seychelles
Сингапур,Singapore
Синт-Мартен,Sint Maarten
Сирия,Syria
Словакия,Slovakia
Словения,Slovenia
Соединенное Королевство,United Kingdom
Соединенные Штаты,United States
Соломоновы острова,Solomon Islands
Сомали,Somalia
Судан,Sudan
Суринам,Suriname
Сьерра-Леоне,Sierra Leone
Таджикистан,Tajikistan
Таиланд,Thailand
Тайвань (Китай),Taiwan, Province of China
Танзания, Объединенная Республика,Tanzania, United Republic Of
Тимор-Лесте,Timor-Leste
Того,Togo
Токелау,Tokelau
Тонга,Tonga
Тринидад и Тобаго,Trinidad and Tobago
Тувалу,Tuvalu
Тунис,Tunisia
Туркмения,Turkmenistan
Турция,Turkey
Уганда,Uganda
Узбекистан,Uzbekistan
Украина,Ukraine
Уоллис и Футуна,Wallis and Futuna
Уругвай,Uruguay
Фарерские острова,Faroe Islands
Фиджи,Fiji
Филиппины,Philippines
Финляндия,Finland
Фолклендские острова (Мальвинские),Falkland Islands (Malvinas)
Франция,France
Французская Гвиана,French Guiana
Французская Полинезия,French Polynesia
Французские Южные территории,French Southern Territories
Хорватия,Croatia
Центрально-Африканская Республика,Central African Republic
Чад,Chad
Черногория,Montenegro
Чешская Республика,Czech Republic
Чили,Chile
Швейцария,Switzerland
Швеция,Sweden
Шпицберген и Ян Майен,Svalbard and Jan Mayen
Шри-Ланка,Sri Lanka
Эквадор,Ecuador
Экваториальная Гвинея,Equatorial Guinea
Эландские острова,Åland Islands
Эль-Сальвадор,El Salvador
Эритрея,Eritrea
Эстония,Estonia
Эфиопия,Ethiopia
Южная Африка,South Africa
Южная Джорджия и Южные Сандвичевы острова,South Georgia and the South Sandwich Islands
Южная Осетия,South Ossetia
Южный Судан,South Sudan
Ямайка,Jamaica
Япония,Japan
